,ID,Name,Linked_OTUs,Named_linked_OTUs,Average presence in 0,Average presence in 1,Representative_group,Average presence (total),Average_importance
7481,GO:0003953,NAD+ nucleosidase activity,,,20.434815411764696,12.307039599999998,0,18.58759363636363,0.003652344758183082
7687,GO:0032440,2-alkenal reductase [NAD(P)+] activity,,,2.6939835294117644,0.819868,0,2.2680481818181817,0.0036472546615333216
7696,GO:0018800,"5-oxopent-3-ene-1,2,5-tricarboxylate decarboxylase activity",,,1.3912311764705878,0.4121108,0,1.1687038181818177,0.0036443354911659042
8095,GO:0008814,citrate CoA-transferase activity,,,0.8708221176470586,1.4812396,1,1.0095533636363636,0.0036049619036309564
8313,4.1.1.5,Not Found,,,0.7608098823529409,1.4392672,1,0.9150047272727267,0.0035189390899522063
8348,2.7.1.51,Not Found,,,1.3593375294117644,0.41448,0,1.1445971818181817,0.0035088196007054665
8419,2.7.6.5,Not Found,,,32.64736235294118,41.765896000000005,1,34.71975636363637,0.003502861138628142
8772,4.1.3.6,Not Found,,,0.9284649411764705,1.5995895999999996,1,1.0809932727272729,0.0035025742930316003
8857,2.7.7.61,Not Found,,,1.4721348235294118,1.8801883999999993,1,1.5648742727272722,0.0034643921072773248
8870,1.2.1.50,Not Found,,,1.2485769411764707,3.5001192000000003,1,1.7602910909090905,0.0033385914482224393
8924,2.4.1.187,Not Found,,,1.5030371764705888,2.6881260000000005,1,1.7723755454545453,0.003329434570114507
8944,4.2.3.3,Not Found,,,61.909716352941174,50.244279999999996,0,59.258480818181816,0.00332698392576826
9002,2.1.1.14,Not Found,,,4.819015764705883,8.4301768,1,5.639734181818181,0.0032759858308831283
9152,1.8.4.10,Not Found,,,2.2063558823529417,0.9094192,0,1.911597545454546,0.0032649095369578127
9175,3.2.1.n2,Not Found,,,4.256908588235294,2.2041996,0,3.790383818181817,0.003263732492708443
9320,2.4.2.52,Not Found,,,1.2926689411764707,1.5577467999999999,1,1.3529139090909095,0.0032427637389454305
9322,3.2.1.8,Not Found,,,8.97610305882353,4.5060804,0,7.960188818181817,0.0032346476967559405
9498,2.8.3.10,Not Found,,,0.8701927058823528,1.479766,1,1.0087320909090909,0.0032261172705152163
9711,1.1.1.37,Not Found,,,23.55649,18.429388799999998,0,22.391239727272723,0.003175846507535908
9746,4.2.1.-,Not Found,,,0.8848990588235294,2.9292052,1,1.3495140909090901,0.003155840308099009
9784,2.1.1.207,Not Found,,,35.0669314117647,42.1678928,1,36.680786272727275,0.0030933749081050862
9886,6.3.1.5,Not Found,,,2.973024117647059,4.659804800000001,1,3.3563833636363634,0.003068034608895584
9891,4.1.2.-,Not Found,,,0.25865,0.8303876,1,0.38859036363636357,0.0030238558177313997
10023,2.1.1.113,Not Found,,,6.516470352941176,1.9610363999999998,0,5.481144454545452,0.0029942625053430085
10096,3.4.13.22,Not Found,,,15.907751411764695,11.929764400000003,0,15.003663454545446,0.002926979204578427
